match_id,match_number,date,group,player_id,player_name,team_id,team,opponent_id,position,is_starter,prior_squad_selections,prior_appearances,appearance_rate,starter_rate,expected_minutes,goals_per90_smoothed,attempts_per90_smoothed,on_target_per90_smoothed,recent_attempts_per90,recent_on_target_per90,team_goals_per_match,team_xg_per_match,team_attempts_per_match,opponent_goals_allowed_per_match,opponent_xg_allowed_per_match,opponent_sot_allowed_per_match,days_rest,knockout,scored,scored_any,goals,appeared,actual_minutes,actual_attempts,actual_on_target,baseline_probability
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_jayden_adams,Jayden ADAMS,RSA,South Africa,MEX,MF,1,0,0,0.5,0.5,80.0,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,1,62.0,0,0,0.08505277126996902
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_sipho_chaine,Sipho CHAINE,RSA,South Africa,MEX,GK,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0,0.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_ricardo_goss,Ricardo GOSS,RSA,South Africa,MEX,GK,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0,0.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_thabang_matuludi,Thabang MATULUDI,RSA,South Africa,MEX,DF,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0,0.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_khulumani_ndamane,Khulumani NDAMANE,RSA,South Africa,MEX,DF,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0,0.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_thalente_mbatha,Thalente MBATHA,RSA,South Africa,MEX,MF,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,1,34.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_oswin_appollis,Oswin APPOLLIS,RSA,South Africa,MEX,FW,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,1,13.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_tshepang_moremi,Tshepang MOREMI,RSA,South Africa,MEX,FW,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0,0.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_relebohile_mofokeng,Relebohile MOFOKENG,RSA,South Africa,MEX,FW,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0,0.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_themba_zwane,Themba ZWANE,RSA,South Africa,MEX,MF,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,1,28.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_thapelo_maseko,Thapelo MASEKO,RSA,South Africa,MEX,FW,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0,0.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_evidence_makgopa,Evidence MAKGOPA,RSA,South Africa,MEX,FW,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,1,14.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_samukele_kabini,Samukele KABINI,RSA,South Africa,MEX,DF,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0,0.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_olwethu_makhanya,Olwethu MAKHANYA,RSA,South Africa,MEX,DF,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0,0.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_kamogelo_sebelebele,Kamogelo SEBELEBELE,RSA,South Africa,MEX,FW,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0,0.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,RSA_bradley_cross,Bradley CROSS,RSA,South Africa,MEX,DF,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0,0.0,0,0,0.008519060941516998
2026-M002-KOR-CZE,2,2026-06-11,Group A,CZE_matej_kovar,Matej KOVAR,CZE,Czechia,KOR,GK,1,0,0,0.5,0.5,80.0,0.1,0.5,0.2,0.5,0.2,1.0,0.9400000000000001,9.5,1.0,0.9400000000000001,3.0,7.0,0,0,0,0,1,90.0,0,0,0.08505277126996902
2026-M002-KOR-CZE,2,2026-06-11,Group A,CZE_robin_hranac,Robin HRANAC,CZE,Czechia,KOR,DF,1,0,0,0.5,0.5,80.0,0.1,0.5,0.2,0.5,0.2,1.0,0.9400000000000001,9.5,1.0,0.9400000000000001,3.0,7.0,0,0,0,0,1,90.0,0,0,0.08505277126996902
