row_id,match_id,date,round,matchweek,team,opponent,goals_for,goals_against,is_listed_home,team_is_host,opponent_is_host,attendance,venue,referee,is_knockout,went_to_extra_time,went_to_pens
167,84,2026-07-02,Round of 32,,Portugal,Croatia,2,1,True,False,False,43036,BMO Field,Espen Eskås,True,False,False
168,84,2026-07-02,Round of 32,,Croatia,Portugal,1,2,False,False,False,43036,BMO Field,Espen Eskås,True,False,False
169,85,2026-07-02,Round of 32,,Switzerland,Algeria,2,0,True,False,False,52497,BC Place Stadium,Yael Falcón,True,False,False
170,85,2026-07-02,Round of 32,,Algeria,Switzerland,0,2,False,False,False,52497,BC Place Stadium,Yael Falcón,True,False,False
171,86,2026-07-03,Round of 32,,Australia,Egypt,1,1,True,False,False,70244,AT&T Stadium,Gustavo Tejera,True,True,True
172,86,2026-07-03,Round of 32,,Egypt,Australia,1,1,False,False,False,70244,AT&T Stadium,Gustavo Tejera,True,True,True
173,87,2026-07-03,Round of 32,,Argentina,Cabo Verde,3,2,True,False,False,64478,Hard Rock Stadium,Drew Fischer,True,True,False
174,87,2026-07-03,Round of 32,,Cabo Verde,Argentina,2,3,False,False,False,64478,Hard Rock Stadium,Drew Fischer,True,True,False
175,88,2026-07-03,Round of 32,,Colombia,Ghana,1,0,True,False,False,69045,GEHA Field at Arrowhead Stadium,Clément Turpin,True,False,False
176,88,2026-07-03,Round of 32,,Ghana,Colombia,0,1,False,False,False,69045,GEHA Field at Arrowhead Stadium,Clément Turpin,True,False,False
177,89,2026-07-04,Round of 16,,Canada,Morocco,0,3,True,True,False,68777,Reliant Stadium,Michael Oliver,True,False,False
178,89,2026-07-04,Round of 16,,Morocco,Canada,3,0,False,False,True,68777,Reliant Stadium,Michael Oliver,True,False,False
179,90,2026-07-04,Round of 16,,Paraguay,France,0,1,True,False,False,68324,Lincoln Financial Field,Ilgiz Tantashev,True,False,False
180,90,2026-07-04,Round of 16,,France,Paraguay,1,0,False,False,False,68324,Lincoln Financial Field,Ilgiz Tantashev,True,False,False
181,91,2026-07-05,Round of 16,,Brazil,Norway,1,2,True,False,False,80663,MetLife Stadium,Ismail Elfath,True,False,False
182,91,2026-07-05,Round of 16,,Norway,Brazil,2,1,False,False,False,80663,MetLife Stadium,Ismail Elfath,True,False,False
183,92,2026-07-05,Round of 16,,Mexico,England,2,3,True,True,False,80824,Estadio Banorte,Alireza Faghani,True,False,False
184,92,2026-07-05,Round of 16,,England,Mexico,3,2,False,False,True,80824,Estadio Banorte,Alireza Faghani,True,False,False
185,93,2026-07-06,Round of 16,,Portugal,Spain,0,1,True,False,False,70649,AT&T Stadium,Anthony Taylor,True,False,False
186,93,2026-07-06,Round of 16,,Spain,Portugal,1,0,False,False,False,70649,AT&T Stadium,Anthony Taylor,True,False,False
187,94,2026-07-06,Round of 16,,USA,Belgium,1,4,True,True,False,66925,Lumen Field,Adham Makhadmeh,True,False,False
188,94,2026-07-06,Round of 16,,Belgium,USA,4,1,False,False,True,66925,Lumen Field,Adham Makhadmeh,True,False,False
189,95,2026-07-07,Round of 16,,Argentina,Egypt,3,2,True,False,False,68239,Mercedes-Benz Stadium,François Letexier,True,False,False
190,95,2026-07-07,Round of 16,,Egypt,Argentina,2,3,False,False,False,68239,Mercedes-Benz Stadium,François Letexier,True,False,False
191,96,2026-07-07,Round of 16,,Switzerland,Colombia,0,0,True,False,False,52497,BC Place Stadium,Iván Barton,True,True,True
192,96,2026-07-07,Round of 16,,Colombia,Switzerland,0,0,False,False,False,52497,BC Place Stadium,Iván Barton,True,True,True
