match_id,date,stage_id,team_id,opponent_id,goals_for,goals_against,xg,xg_against,result_type,is_home,possession_pct,total_shots,shots_on_target,corners,fouls,offsides,saves,data_source,team_name,confederation,opponent_name,stage_name,is_knockout,result,win,outcome,opp_own_goals,goals_from_play,conversion_rate
24,2026-06-17,1,44,43,3,1,2.1,0.95,Regular,0,56,15,4,4,11,1,2,fifa.com,Colombia,CONMEBOL,Uzbekistan,Group Stage,False,W,1,Win,0,3,20.0
25,2026-06-18,1,3,1,0,1,0.58,1.62,Regular,0,51,9,2,2,7,2,3,fifa.com,South Korea,AFC,Mexico,Group Stage,False,L,0,Not win,0,0,0.0
26,2026-06-18,1,2,4,1,1,1.15,1.35,Regular,0,60,17,4,5,10,3,4,fifa.com,South Africa,CAF,Czechia,Group Stage,False,D,0,Not win,0,1,5.88235294117647
27,2026-06-18,1,7,5,0,6,0.22,3.82,Regular,0,20,2,0,1,10,1,9,fifa.com,Qatar,AFC,Canada,Group Stage,False,L,0,Not win,0,0,0.0
28,2026-06-18,1,6,8,1,4,0.88,2.45,Regular,0,34,5,3,3,17,1,5,fifa.com,Bosnia and Herzegovina,UEFA,Switzerland,Group Stage,False,L,0,Not win,0,1,20.0
29,2026-06-19,1,11,9,0,3,0.9,1.16,Regular,0,41,4,0,2,12,1,4,sofascore.com,Haiti,CONCACAF,Brazil,Group Stage,False,L,0,Not win,0,0,0.0
30,2026-06-19,1,10,12,1,0,0.54,0.97,Regular,0,59,12,4,5,10,2,2,sofascore.com,Morocco,CAF,Scotland,Group Stage,False,W,1,Win,0,1,8.333333333333332
31,2026-06-19,1,15,13,0,2,0.32,1.21,Regular,0,30,5,2,4,16,0,2,fifa.com,Australia,AFC,USA,Group Stage,False,L,0,Not win,0,0,0.0
32,2026-06-19,1,14,16,1,0,0.3,0.4,Regular,0,19,7,2,0,15,1,4,fifa.com,Paraguay,CONMEBOL,Türkiye,Group Stage,False,W,1,Win,0,1,14.285714285714285
33,2026-06-20,1,19,17,1,2,0.72,1.85,Regular,0,41,9,3,3,8,2,6,fifa.com,Côte d'Ivoire,CAF,Germany,Group Stage,False,L,0,Not win,0,1,11.11111111111111
34,2026-06-20,1,18,20,0,0,0.08,1.92,Regular,0,37,5,1,0,14,1,15,fifa.com,Curaçao,CONCACAF,Ecuador,Group Stage,False,D,0,Not win,0,0,0.0
35,2026-06-20,1,23,21,1,5,0.88,3.45,Regular,0,43,16,8,3,14,3,7,fifa.com,Sweden,UEFA,Netherlands,Group Stage,False,L,0,Not win,0,1,6.25
36,2026-06-20,1,22,24,4,0,3.12,0.35,Regular,0,62,14,5,5,15,1,1,fifa.com,Japan,AFC,Tunisia,Group Stage,False,W,1,Win,0,4,28.57142857142857
37,2026-06-21,1,27,25,0,0,0.62,1.45,Regular,0,30,7,2,2,9,3,8,fifa.com,IR Iran,AFC,Belgium,Group Stage,False,D,0,Not win,0,0,0.0
38,2026-06-21,1,26,28,3,1,2.15,0.55,Regular,0,50,19,7,4,8,1,2,fifa.com,Egypt,CAF,New Zealand,Group Stage,False,W,1,Win,0,3,15.789473684210526
39,2026-06-21,1,31,29,0,4,0.25,3.28,Regular,0,33,5,1,1,10,2,4,fifa.com,Saudi Arabia,AFC,Spain,Group Stage,False,L,0,Not win,0,0,0.0
